Port_ID,ROI,PnL,Sharpe_Ratio,MDD,Win_Rate,Win_Positions,Total_Positions,Score
3672754654734989568,603.174139605689,566.59765978,0.18527447769074118,-0.6208259087643464,44.303797468354425,210,474,1233.707135039031
3733192481840423936,9.885721586928177,2923.97719988,0.0602654376631922,-0.0899519507945914,80.2612481857765,553,689,2943.4607709230195
3768170840939476993,24.399008752121293,243.66889897,0.424277456403125,0.0,42.857142857142854,6,14,272.31068228615254
3784403294629753856,1307.46330573045,2521.81430468,0.10658506601925932,-0.7693384992846821,30.231404958677686,1829,6050,3907.277310999111
3786761687746711808,26.283581782122873,205.02139999,0.21515049784088053,-0.1505205078390528,45.1219512195122,37,82,248.50853753443695
3788465932399412480,639.40645171545,13960.966456670001,0.15291214877945764,-0.566798896691697,44.607363962202676,1369,3069,14658.581919542414
3818233536529843712,176.85471464986827,6419.607907139999,0.15428219254946457,-0.4345369941079136,33.919774806474315,482,1421,6641.459143126153
3819545518395756033,30.015410999632486,980.06319996,0.2147229171511935,0.0,38.23529411764706,26,68,1012.2258401311445
3826087012661391104,1142.060406796741,532.65697373,0.6751014185094157,-0.2623370044485652,58.333333333333336,63,108,1707.702095156692
3858510226868015873,-160.03517147910088,-280.97295039,-0.013558252740182594,-2.388748429531738,24.397590361445783,243,996,-202.26886144332892
3865845304835489536,138.97755885759813,1406.06618669,0.24357476133916595,-0.07616847976163688,51.13378684807256,451,882,1555.0963411371533
3878631538480067329,356.35392276458236,3921.2330411600005,0.15606635691653248,-0.6224543787368969,50.337958022056206,1415,2811,4341.393065367438
3879821005658659073,5146.206741363718,4268.00656095,0.13094012831820384,-24991.04208768171,33.142201834862384,289,872,2508519.731471768
3880920727367689984,-4.488763937730449,-176.82699999000002,-0.03862775677475678,-0.14711481000963977,33.793103448275865,49,145,-166.99056049451406
3886752488982104320,13580.574172520923,7195.178324640001,0.22171358766665264,-0.5582389601479281,74.5396317053643,931,1249,20833.793529052386
3887577207880438784,876.6064510390493,2417.51403674,0.08791090507202146,-0.9310798400566391,47.81818181818182,2893,6050,3388.1075808354335
3891020560590657281,13164.275020247624,2856.30056379,0.43247702595319576,0.0,64.75972540045767,283,437,16024.900354297157
3907081197088384000,900.8899575087507,18015.997370259996,0.22272929259108457,-0.6764246256149948,61.39714769156394,2540,4137,18986.757083256158
3910887259807777281,4.808484794373709,1803.3020100100002,0.1082962122217286,-0.017607198857628736,22.666666666666664,17,75,1810.9541768123543
3910983669796782848,251.22416099135046,6761.648048249999,0.3310388618654868,-0.07276870795251023,42.8125,274,640,7023.4594686552555
3911997667197443328,23.05892849559072,605.72231024,0.17285573562279433,-0.08453403000571968,46.875,30,64,638.9631990923906
3914654298562589441,3.4126710914984115,343.47044905000075,0.010976836334010401,-0.32627278583089525,41.40786749482402,200,483,379.6201670879288
3919174299855478272,114.10463792308619,1456.3718076200003,0.011491608845265374,-1.6661368313146045,48.06629834254144,609,1267,1737.2050447629995
3923766029921022977,235.8909804838456,772.7290318900001,0.07238099702504483,-0.60322771123526,28.51469420174742,359,1259,1069.6665934676223
3925368433214965504,341.511514451562,6789.436738630001,0.27487340370959884,-0.07833153985247909,33.33333333333333,486,1458,7141.530141103907
3926423286576838657,123.4192949408889,1309.4599595900002,0.05025983601148921,-1.0760601613257397,34.10041841004184,163,478,1540.987869023578
3930688517098515713,20.350040838875696,1947.24457347,0.06311486826947772,-0.12296844871368573,48.61111111111111,140,288,1980.5226078629391
3931992636670880512,26484.861942517316,10374.96528998,0.05079627547200503,-4.6859512984331976e+63,40.16528925619834,2430,6050,4.685951298433197e+65
3932103299427844097,75.49670706948426,3860.3097053499996,0.08332210588185551,-0.12338486598893239,30.050212437234453,778,2589,3948.978120077196
3935808725185052672,494.2816193989767,2301.9641228599994,0.06325386386802205,-0.9857806402309357,35.10204081632653,602,1715,2895.45634492075
3936410995029308417,15.593451094890511,10681.514000000001,0.29898370047919265,0.0,30.0,6,20,10700.097288099683
3937714876784951296,44.647649619326906,1117.5308932100006,0.016314451097396945,-0.818027032248895,39.33463796477495,201,511,1244.144390565191
3939318616482048768,344.6555518308774,9775.389109840002,0.2038294609803751,-0.030435465917964644,37.46031746031746,118,315,10125.12650287248
3939925275039085824,1818.5699842673057,2378.8786707,0.2259532814259709,-0.4792011179214748,36.23481781376518,2148,5928,4247.628299573713
3941019213896463617,22.121670794305114,4234.087790029999,0.08777363799755794,-0.24160129179469758,49.107142857142854,55,112,4281.247326383749
3942630767220672256,548.2613811108616,6611.89848042,0.0679796900177562,-0.9963191186215004,38.29744415375327,1903,4969,7260.471570293189
3943533600390906881,8430.527846978262,2361.4245720499994,0.4280792022224634,-7.036424519701412,54.80386583285958,964,1759,11499.875663020626
3944088772635000577,14149.85439231056,7581.491983399999,0.29914107625654696,-0.8468696760220242,45.75292759360053,2774,6063,21819.02475407533
3944239644144231424,-233.24909198868977,-1187.8909756799994,-0.02373131425578838,-1.1430172729101449,26.456876456876454,227,858,-1307.0756535202327
3944658614777849089,137.65427869674852,2074.4499799600003,0.40749036726529175,0.0,44.44444444444444,20,45,2216.1791623294016
3946087913459823360,-410.84246774763847,-40.667241669999996,-0.0057084940040314875,-1.000552399413112,31.71733771569433,1930,6085,-351.51155441636763
3949214983441029120,248.34650245511165,1317.5775589599998,0.05876960185539698,-0.228857752911513,36.9757174392936,1675,4530,1589.3975327248168
3949329502284748801,4289.937537917699,425.96505789,0.136071383464518,-57.136998626710394,18.75,72,384,10430.963172313383
